node,perf
C01,64729.242000
C02,62760.272000
C03,50366.246000
C04,49578.388000
C05,45679.510000
C06,44436.370000
C07,40870.768000
C08,40415.146000
C09,39535.158000
C10,39410.786000
C11,39198.640000
C12,38963.836000
C13,38914.244000
C14,38521.466000
C15,36652.420000
C16,36519.772000
C17,35786.488000
C18,35499.300000
C19,34921.476000
C20,34380.926000
C21,32055.014000
C22,31629.964000
C23,31605.088000
C24,31581.276000
C25,31335.286000
C26,31227.578000
C27,31012.620000
C28,30948.302000
C29,30652.808000
C30,30569.426000
C31,29048.964000
C32,28893.200000
C33,28414.766000
C34,28284.914000
C35,27826.276000
C36,27714.508000
C37,27362.932000
C38,27290.058000
C39,27269.218000
C40,27094.347000
C41,25999.228000
C42,25950.128000
C43,25771.856000
C44,25764.840000
C45,25720.364000
C46,25270.926000
C47,25198.008000
C48,25095.378000
C49,23687.942000
C50,23652.054000
C51,23484.640000
C52,23483.952000
C53,23442.450000
C54,23411.350000
C55,23388.542000
C56,23354.890000
C57,23334.824000
C58,23275.824000
C59,23244.012000
C60,23220.852000
C61,22491.700000
C62,22131.668000
C63,21407.274000
C64,21280.602000
C65,21271.516000
C66,21264.090000
C67,21263.040000
C68,20804.064000
C69,19971.630000
C70,19938.728000
C71,19856.046000
C72,19793.240000
C73,19773.318000
C74,19651.596000
C75,19632.992000
C76,19630.832000
C77,19624.696000
C78,19494.204000
C79,18722.926000
C80,18676.202000
C81,18658.736000
C82,18557.950000
C83,18556.572000
C84,18516.886000
C85,17966.440000
C86,17907.260000
C87,17280.964000
C88,17210.618000
C89,17206.146000
C90,17130.632000
C91,16130.300000
C92,16107.452000
C93,16096.476000
C94,16050.768000
C95,16022.298000
C96,15993.054000
